,T_184-statistic
SA_bankssts,-4.00513289557566
SA_caudalanteriorcingulate,-2.8225407527759154
SA_caudalmiddlefrontal,0.0
SA_cuneus,0.0
SA_entorhinal,0.0
SA_fusiform,-2.7003935039656897
SA_inferiorparietal,-3.1502993399459975
SA_inferiortemporal,0.0
SA_isthmuscingulate,-5.234252706356281
SA_lateraloccipital,0.0
SA_lateralorbitofrontal,-4.182326305688348
SA_lingual,0.0
SA_medialorbitofrontal,-2.4077047169952057
SA_middletemporal,-4.333476824987722
SA_parahippocampal,0.0
SA_paracentral,0.0
SA_parsopercularis,0.0
SA_parsorbitalis,0.0
SA_parstriangularis,0.0
SA_pericalcarine,0.0
SA_postcentral,0.0
SA_posteriorcingulate,-4.033513297623285
SA_precentral,0.0
SA_precuneus,0.0
SA_rostralanteriorcingulate,-3.606905096407809
SA_rostralmiddlefrontal,0.0
SA_superiorfrontal,0.0
SA_superiorparietal,-3.3318677164410686
SA_superiortemporal,0.0
SA_supramarginal,-2.373185124185816
SA_frontalpole,0.0
SA_temporalpole,0.0
SA_transversetemporal,-2.4386463041146076
SA_insula,0.0
