ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
SA_bankssts,-4.005,184.0,0.579,-104.646,-35.573,<0.001,0.001
SA_caudalanteriorcingulate,-2.823,184.0,0.418,-77.461,-13.723,0.005,0.02
SA_caudalmiddlefrontal,-0.734,184.0,0.133,-119.67,54.775,0.464,0.544
SA_cuneus,-2.321,184.0,0.343,-128.27,-10.39,0.021,0.052
SA_entorhinal,1.817,184.0,-0.235,-2.001,48.755,0.071,0.12
SA_fusiform,-2.7,184.0,0.371,-211.509,-32.924,0.008,0.026
SA_inferiorparietal,-3.15,184.0,0.438,-479.88,-110.28,0.002,0.008
SA_inferiortemporal,-0.36,184.0,0.087,-135.877,93.932,0.719,0.741
SA_isthmuscingulate,-5.234,184.0,0.732,-130.419,-59.016,<0.001,<0.001
SA_lateraloccipital,-0.588,184.0,0.111,-215.681,116.622,0.557,0.611
SA_lateralorbitofrontal,-4.182,184.0,0.588,-244.455,-87.745,<0.001,0.001
SA_lingual,-1.947,184.0,0.295,-235.141,1.579,0.053,0.106
SA_medialorbitofrontal,-2.408,184.0,0.35,-118.57,-11.768,0.017,0.048
SA_middletemporal,-4.333,184.0,0.59,-336.423,-125.925,<0.001,<0.001
SA_parahippocampal,-1.308,184.0,0.204,-32.171,6.523,0.193,0.252
SA_paracentral,-1.691,184.0,0.255,-83.31,6.415,0.093,0.143
SA_parsopercularis,-0.429,184.0,0.077,-77.202,49.61,0.668,0.71
SA_parsorbitalis,-1.82,184.0,0.276,-52.252,2.113,0.07,0.12
SA_parstriangularis,-1.87,184.0,0.283,-116.478,3.116,0.063,0.119
SA_pericalcarine,-1.583,184.0,0.242,-129.026,14.132,0.115,0.163
SA_postcentral,-1.999,184.0,0.28,-216.517,-1.41,0.047,0.104
SA_posteriorcingulate,-4.034,184.0,0.569,-137.582,-47.199,<0.001,0.001
SA_precentral,-1.785,184.0,0.26,-253.128,12.633,0.076,0.123
SA_precuneus,-0.966,184.0,0.16,-169.534,58.07,0.335,0.407
SA_rostralanteriorcingulate,-3.607,184.0,0.511,-94.152,-27.571,<0.001,0.002
SA_rostralmiddlefrontal,-0.317,184.0,0.081,-219.878,159.014,0.752,0.752
SA_superiorfrontal,-1.982,184.0,0.279,-405.622,-0.946,0.049,0.104
SA_superiorparietal,-3.332,184.0,0.465,-425.285,-108.945,0.001,0.005
SA_superiortemporal,-1.034,184.0,0.173,-176.133,54.998,0.302,0.381
SA_supramarginal,-2.373,184.0,0.342,-326.928,-30.108,0.019,0.049
SA_frontalpole,0.624,184.0,-0.056,-5.652,10.876,0.534,0.605
SA_temporalpole,1.489,184.0,-0.156,-4.439,31.738,0.138,0.188
SA_transversetemporal,-2.439,184.0,0.367,-34.652,-3.658,0.016,0.048
SA_insula,-1.586,184.0,0.241,-116.931,12.724,0.115,0.163
