ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
CT_bankssts,-1.724,5949.0,0.136,-0.035,0.002,8.48e-02,2.00e-01
CT_caudalanteriorcingulate,2.468,5949.0,-0.171,0.006,0.051,1.36e-02,9.11e-02
CT_caudalmiddlefrontal,-1.747,5949.0,0.132,-0.031,0.002,8.06e-02,2.00e-01
CT_cuneus,1.621,5949.0,-0.1,-0.003,0.033,1.05e-01,2.23e-01
CT_entorhinal,1.742,5949.0,-0.125,-0.004,0.069,8.15e-02,2.00e-01
CT_fusiform,-0.664,5949.0,0.062,-0.019,0.009,5.07e-01,7.18e-01
CT_inferiorparietal,-1.325,5949.0,0.114,-0.024,0.005,1.85e-01,3.50e-01
CT_inferiortemporal,-0.211,5949.0,0.024,-0.018,0.015,8.33e-01,9.39e-01
CT_isthmuscingulate,2.138,5949.0,-0.148,0.002,0.037,3.26e-02,1.11e-01
CT_lateraloccipital,2.845,5949.0,-0.199,0.008,0.042,4.46e-03,5.05e-02
CT_lateralorbitofrontal,0.81,5949.0,-0.044,-0.009,0.022,4.18e-01,6.46e-01
CT_lingual,-0.196,5949.0,0.032,-0.018,0.015,8.45e-01,9.39e-01
CT_medialorbitofrontal,1.128,5949.0,-0.065,-0.007,0.026,2.59e-01,4.64e-01
CT_middletemporal,-4.238,5949.0,0.321,-0.059,-0.022,2.29e-05,7.79e-04
CT_parahippocampal,2.336,5949.0,-0.162,0.005,0.062,1.95e-02,9.11e-02
CT_paracentral,-0.221,5949.0,0.026,-0.019,0.015,8.25e-01,9.39e-01
CT_parsopercularis,1.347,5949.0,-0.094,-0.005,0.026,1.78e-01,3.50e-01
CT_parsorbitalis,-3.317,5949.0,0.253,-0.055,-0.014,9.14e-04,1.55e-02
CT_parstriangularis,-2.299,5949.0,0.18,-0.034,-0.003,2.16e-02,9.11e-02
CT_pericalcarine,2.503,5949.0,-0.175,0.006,0.046,1.23e-02,9.11e-02
CT_postcentral,0.353,5949.0,-0.012,-0.015,0.022,7.24e-01,9.39e-01
CT_posteriorcingulate,0.131,5949.0,0.0,-0.014,0.016,8.96e-01,9.39e-01
CT_precentral,-1.079,5949.0,0.076,-0.026,0.008,2.81e-01,4.77e-01
CT_precuneus,1.037,5949.0,-0.055,-0.006,0.021,3.00e-01,4.85e-01
CT_rostralanteriorcingulate,0.111,5949.0,0.004,-0.021,0.024,9.12e-01,9.39e-01
CT_rostralmiddlefrontal,-2.256,5949.0,0.181,-0.031,-0.002,2.41e-02,9.11e-02
CT_superiorfrontal,-1.706,5949.0,0.134,-0.03,0.002,8.81e-02,2.00e-01
CT_superiorparietal,0.244,5949.0,-0.002,-0.013,0.017,8.07e-01,9.39e-01
CT_superiortemporal,2.292,5949.0,-0.161,0.003,0.04,2.19e-02,9.11e-02
CT_supramarginal,0.7,5949.0,-0.041,-0.011,0.022,4.84e-01,7.16e-01
CT_frontalpole,-0.177,5949.0,0.026,-0.032,0.027,8.60e-01,9.39e-01
CT_temporalpole,-0.594,5949.0,0.047,-0.044,0.024,5.53e-01,7.51e-01
CT_transversetemporal,0.025,5949.0,0.008,-0.023,0.023,9.80e-01,9.80e-01
CT_insula,-2.049,5949.0,0.16,-0.039,-0.001,4.06e-02,1.25e-01
