,T_5949-statistic
CT_bankssts,0.0
CT_caudalanteriorcingulate,2.70676320574602
CT_caudalmiddlefrontal,-2.7117550249913873
CT_cuneus,0.0
CT_entorhinal,0.0
CT_fusiform,0.0
CT_inferiorparietal,0.0
CT_inferiortemporal,0.0
CT_isthmuscingulate,0.0
CT_lateraloccipital,0.0
CT_lateralorbitofrontal,0.0
CT_lingual,0.0
CT_medialorbitofrontal,0.0
CT_middletemporal,-5.246637023033621
CT_parahippocampal,0.0
CT_paracentral,0.0
CT_parsopercularis,0.0
CT_parsorbitalis,-3.9900569850009
CT_parstriangularis,-3.4424372445999625
CT_pericalcarine,0.0
CT_postcentral,0.0
CT_posteriorcingulate,0.0
CT_precentral,0.0
CT_precuneus,0.0
CT_rostralanteriorcingulate,0.0
CT_rostralmiddlefrontal,-3.202953443134231
CT_superiorfrontal,0.0
CT_superiorparietal,0.0
CT_superiortemporal,0.0
CT_supramarginal,0.0
CT_frontalpole,0.0
CT_temporalpole,0.0
CT_transversetemporal,0.0
CT_insula,-2.8179800864504014
