ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
SA_bankssts,-2.462,5073.0,0.204,-54.377,-6.17,1.38e-02,4.70e-02
SA_caudalanteriorcingulate,-0.364,5073.0,0.033,-24.862,17.073,7.16e-01,8.11e-01
SA_caudalmiddlefrontal,-1.559,5073.0,0.131,-111.718,12.735,1.19e-01,2.12e-01
SA_cuneus,-0.689,5073.0,0.06,-45.986,22.075,4.91e-01,5.96e-01
SA_entorhinal,1.482,5073.0,-0.114,-3.299,23.757,1.38e-01,2.24e-01
SA_fusiform,-2.303,5073.0,0.181,-122.981,-9.894,2.13e-02,6.58e-02
SA_inferiorparietal,-3.341,5073.0,0.269,-306.606,-79.852,8.40e-04,7.14e-03
SA_inferiortemporal,0.121,5073.0,-0.002,-66.141,74.838,9.04e-01,9.31e-01
SA_isthmuscingulate,-2.707,5073.0,0.218,-54.526,-8.725,6.80e-03,3.84e-02
SA_lateraloccipital,-1.841,5073.0,0.149,-195.042,6.11,6.56e-02,1.31e-01
SA_lateralorbitofrontal,-1.957,5073.0,0.161,-101.786,0.1,5.05e-02,1.07e-01
SA_lingual,-0.733,5073.0,0.064,-92.102,41.992,4.64e-01,5.84e-01
SA_medialorbitofrontal,-1.311,5073.0,0.109,-58.563,11.635,1.90e-01,2.69e-01
SA_middletemporal,-2.657,5073.0,0.214,-167.325,-25.248,7.90e-03,3.84e-02
SA_parahippocampal,-1.55,5073.0,0.126,-22.714,2.656,1.21e-01,2.12e-01
SA_paracentral,0.087,5073.0,0.001,-26.881,29.37,9.31e-01,9.31e-01
SA_parsopercularis,-2.553,5073.0,0.213,-89.179,-11.707,1.07e-02,4.05e-02
SA_parsorbitalis,-0.25,5073.0,0.026,-18.794,14.549,8.03e-01,8.81e-01
SA_parstriangularis,-3.665,5073.0,0.294,-105.567,-31.985,2.50e-04,7.14e-03
SA_pericalcarine,0.651,5073.0,-0.051,-27.051,53.953,5.15e-01,6.04e-01
SA_postcentral,-2.61,5073.0,0.214,-183.014,-26.014,9.08e-03,3.86e-02
SA_posteriorcingulate,-2.061,5073.0,0.169,-55.831,-1.39,3.94e-02,9.57e-02
SA_precentral,-1.355,5073.0,0.113,-143.226,26.17,1.76e-01,2.60e-01
SA_precuneus,-1.536,5073.0,0.128,-147.572,17.9,1.25e-01,2.12e-01
SA_rostralanteriorcingulate,-2.245,5073.0,0.184,-44.299,-2.993,2.48e-02,7.04e-02
SA_rostralmiddlefrontal,0.185,5073.0,-0.006,-113.36,136.969,8.53e-01,9.07e-01
SA_superiorfrontal,-1.416,5073.0,0.115,-259.843,41.872,1.57e-01,2.42e-01
SA_superiorparietal,-3.22,5073.0,0.268,-313.824,-76.314,1.29e-03,8.76e-03
SA_superiortemporal,-2.021,5073.0,0.164,-147.503,-2.248,4.33e-02,9.82e-02
SA_supramarginal,-1.175,5073.0,0.101,-158.68,39.723,2.40e-01,3.26e-01
SA_frontalpole,0.761,5073.0,-0.051,-3.846,8.725,4.47e-01,5.84e-01
SA_temporalpole,3.516,5073.0,-0.269,7.679,27.035,4.42e-04,7.14e-03
SA_transversetemporal,-2.203,5073.0,0.182,-18.769,-1.094,2.76e-02,7.23e-02
SA_insula,-3.377,5073.0,0.264,-107.629,-28.559,7.39e-04,7.14e-03
