,Spearman_rho,pvalue,p_fdr
bankssts,0.9895415084102007,7.501146524888733e-81,3.1879872730777117e-80
caudalanteriorcingulate,0.9183396635919696,1.2954030907203834e-39,1.3346577298331222e-39
caudalmiddlefrontal,0.9719614758545849,6.776817343324018e-61,9.216471586920664e-61
cuneus,0.9806022788931091,2.4905941565739484e-68,5.64534675490095e-68
entorhinal,0.9907759088442757,2.1067904450087713e-83,1.0232982161471175e-82
fusiform,0.9909658166033641,7.958969008236905e-84,4.510082438000912e-83
inferiorparietal,0.97866250678242,2.1018399402399274e-66,4.203679880479855e-66
inferiortemporal,0.9871134020618557,1.2962806154885065e-76,4.4073540926609223e-76
isthmuscingulate,0.8808057514921324,2.7938795481092237e-32,2.7938795481092237e-32
lateraloccipital,0.9864351600651112,1.422373136784226e-75,4.396426059151244e-75
lateralorbitofrontal,0.9954693434617472,7.208474735461759e-98,2.450881410056998e-96
lingual,0.9697232772653283,2.379297027679024e-59,3.111388420811032e-59
medialorbitofrontal,0.9781470428648942,6.378898697088981e-66,1.2049030872279187e-65
middletemporal,0.9731009224091156,9.896561626855094e-62,1.4629699796220573e-61
parahippocampal,0.927088985349973,7.727233256621317e-42,8.21018533516015e-42
paracentral,0.9739826370048834,2.108316171860976e-62,3.258306811057872e-62
parsopercularis,0.9818502441671187,1.125287343271763e-69,2.943059205479996e-69
parsorbitalis,0.9641752577319587,5.6990041039193675e-56,7.176523686416981e-56
parstriangularis,0.9932447097124255,9.766097147999297e-90,8.301182575799402e-89
pericalcarine,0.9588714053174172,3.3197523227923667e-53,3.7623859658313492e-53
postcentral,0.9758003255561584,7.304733247597587e-64,1.1826710972300855e-63
posteriorcingulate,0.9337221920781335,1.0189786757499159e-43,1.1175895153386174e-43
precentral,0.9789473684210527,1.1247995586653216e-66,2.3901990621638084e-66
precuneus,0.9935567010309279,1.065620984078831e-90,1.2077037819560084e-89
rostralanteriorcingulate,0.9607704829083017,3.7591724217320545e-54,4.407305597892754e-54
rostralmiddlefrontal,0.992552902875746,9.398372246823236e-88,6.3908931278398e-87
superiorfrontal,0.9626153011394467,4.076402128338972e-55,4.949916870125895e-55
superiorparietal,0.9779706999457407,9.269480015545633e-66,1.658749055413429e-65
superiortemporal,0.9949267498643516,1.4501253788561628e-95,2.465213144055477e-94
supramarginal,0.9769023904776414,8.377415441017746e-65,1.4241606249730167e-64
frontalpole,0.9808871405317416,1.2506563760359532e-68,3.0373083418016006e-68
temporalpole,0.9888361367335865,1.5864600600493633e-79,5.993293560186484e-79
transversetemporal,0.9863130765056972,2.1612073500914552e-75,6.123420825259123e-75
insula,0.9723955507325014,3.2874094262043475e-61,4.657163353789492e-61
