,ICC,DOF1,DOF2,CI95%_lower,CI95%_upper,pvalue,p_fdr
centile_CT_bankssts,0.874,190,190,0.84,0.9,1.00e-61,1.71e-60
centile_CT_caudalanteriorcingulate,0.808,190,190,0.75,0.85,7.40e-46,5.03e-45
centile_CT_caudalmiddlefrontal,0.735,190,190,0.66,0.79,3.10e-34,4.79e-34
centile_CT_cuneus,0.798,190,190,0.74,0.84,5.77e-44,2.80e-43
centile_CT_entorhinal,0.633,190,190,0.54,0.71,3.58e-23,4.20e-23
centile_CT_fusiform,0.748,190,190,0.68,0.8,5.51e-36,8.93e-36
centile_CT_inferiorparietal,0.779,190,190,0.72,0.83,1.32e-40,3.75e-40
centile_CT_inferiortemporal,0.749,190,190,0.68,0.81,4.48e-36,8.12e-36
centile_CT_isthmuscingulate,0.876,190,190,0.84,0.91,1.61e-62,5.47e-61
centile_CT_lateraloccipital,0.801,190,190,0.74,0.85,1.63e-44,9.26e-44
centile_CT_lateralorbitofrontal,0.606,190,190,0.51,0.69,6.26e-21,7.10e-21
centile_CT_lingual,0.784,190,190,0.72,0.83,1.98e-41,7.48e-41
centile_CT_medialorbitofrontal,0.605,190,190,0.51,0.69,7.94e-21,8.70e-21
centile_CT_middletemporal,0.782,190,190,0.72,0.83,3.93e-41,1.21e-40
centile_CT_parahippocampal,0.830,190,190,0.78,0.87,1.85e-50,2.10e-49
centile_CT_paracentral,0.774,190,190,0.71,0.83,7.31e-40,1.91e-39
centile_CT_parsopercularis,0.769,190,190,0.7,0.82,4.41e-39,1.00e-38
centile_CT_parsorbitalis,0.692,190,190,0.61,0.76,5.33e-29,7.25e-29
centile_CT_parstriangularis,0.770,190,190,0.7,0.82,3.64e-39,8.83e-39
centile_CT_pericalcarine,0.749,190,190,0.68,0.81,4.54e-36,8.12e-36
centile_CT_postcentral,0.794,190,190,0.74,0.84,2.74e-43,1.16e-42
centile_CT_posteriorcingulate,0.810,190,190,0.76,0.85,2.73e-46,2.32e-45
centile_CT_precentral,0.705,190,190,0.63,0.77,2.06e-30,2.91e-30
centile_CT_precuneus,0.782,190,190,0.72,0.83,3.33e-41,1.13e-40
centile_CT_rostralanteriorcingulate,0.582,190,190,0.48,0.67,4.15e-19,4.41e-19
centile_CT_rostralmiddlefrontal,0.661,190,190,0.57,0.73,8.87e-26,1.08e-25
centile_CT_superiorfrontal,0.748,190,190,0.68,0.8,4.99e-36,8.49e-36
centile_CT_superiorparietal,0.731,190,190,0.66,0.79,1.10e-33,1.63e-33
centile_CT_superiortemporal,0.767,190,190,0.7,0.82,7.97e-39,1.69e-38
centile_CT_supramarginal,0.753,190,190,0.68,0.81,1.11e-36,2.23e-36
centile_CT_frontalpole,0.689,190,190,0.61,0.76,1.29e-28,1.68e-28
centile_CT_temporalpole,0.444,190,190,0.32,0.55,5.40e-11,5.56e-11
centile_CT_transversetemporal,0.663,190,190,0.58,0.74,5.96e-26,7.51e-26
centile_CT_insula,0.394,190,190,0.27,0.51,8.00e-09,8.00e-09
