ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
SA_bankssts,-3.224,691.0,0.426,-23.171,-5.629,1.33e-03,4.51e-03
SA_caudalanteriorcingulate,0.357,691.0,0.187,-11.106,16.049,7.21e-01,8.17e-01
SA_caudalmiddlefrontal,-2.069,691.0,0.343,-43.166,-1.134,3.89e-02,6.61e-02
SA_cuneus,-0.124,691.0,0.186,-29.293,25.802,9.01e-01,9.28e-01
SA_entorhinal,0.508,691.0,0.095,-3.17,5.383,6.11e-01,7.43e-01
SA_fusiform,-2.843,691.0,0.395,-68.961,-12.616,4.61e-03,1.31e-02
SA_inferiorparietal,-3.656,691.0,0.447,-156.793,-47.221,2.76e-04,1.17e-03
SA_inferiortemporal,-1.207,691.0,0.291,-49.584,11.837,2.28e-01,2.98e-01
SA_isthmuscingulate,-3.864,691.0,0.464,-50.936,-16.612,1.22e-04,5.93e-04
SA_lateraloccipital,-1.683,691.0,0.316,-100.286,7.713,9.28e-02,1.37e-01
SA_lateralorbitofrontal,-4.354,691.0,0.487,-136.806,-51.774,1.54e-05,1.04e-04
SA_lingual,-1.389,691.0,0.29,-57.13,9.789,1.65e-01,2.27e-01
SA_medialorbitofrontal,-4.199,691.0,0.483,-57.378,-20.813,3.04e-05,1.72e-04
SA_middletemporal,-3.528,691.0,0.434,-101.128,-28.818,4.46e-04,1.68e-03
SA_parahippocampal,-0.415,691.0,0.221,-8.42,5.482,6.78e-01,7.95e-01
SA_paracentral,0.021,691.0,0.194,-13.056,13.343,9.83e-01,9.83e-01
SA_parsopercularis,-5.131,691.0,0.544,-61.739,-27.568,3.74e-07,6.36e-06
SA_parsorbitalis,-6.03,691.0,0.609,-39.818,-20.258,2.67e-09,9.07e-08
SA_parstriangularis,-4.893,691.0,0.529,-38.9,-16.622,1.23e-06,1.40e-05
SA_pericalcarine,2.331,691.0,-0.054,6.532,76.284,2.00e-02,4.02e-02
SA_postcentral,-0.791,691.0,0.262,-67.588,28.757,4.29e-01,5.40e-01
SA_posteriorcingulate,-0.29,691.0,0.227,-16.597,12.323,7.72e-01,8.46e-01
SA_precentral,-1.383,691.0,0.298,-66.021,11.452,1.67e-01,2.27e-01
SA_precuneus,-1.853,691.0,0.328,-63.979,1.846,6.43e-02,9.93e-02
SA_rostralanteriorcingulate,-4.657,691.0,0.514,-42.552,-17.313,3.85e-06,3.27e-05
SA_rostralmiddlefrontal,-2.86,691.0,0.391,-132.834,-24.682,4.37e-03,1.31e-02
SA_superiorfrontal,-2.692,691.0,0.381,-193.206,-30.231,7.28e-03,1.90e-02
SA_superiorparietal,-2.643,691.0,0.386,-130.999,-19.323,8.41e-03,2.04e-02
SA_superiortemporal,-2.096,691.0,0.348,-76.983,-2.523,3.64e-02,6.51e-02
SA_supramarginal,-2.377,691.0,0.365,-89.217,-8.504,1.77e-02,4.02e-02
SA_frontalpole,-1.915,691.0,0.276,-9.218,0.115,5.59e-02,9.05e-02
SA_temporalpole,0.188,691.0,0.173,-6.778,8.21,8.51e-01,9.04e-01
SA_transversetemporal,-2.308,691.0,0.345,-13.163,-1.063,2.13e-02,4.02e-02
SA_insula,-2.319,691.0,0.354,-41.66,-3.457,2.07e-02,4.02e-02
