ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
CT_bankssts,0.692,549.0,-0.078,-0.011,0.023,0.489,0.573
CT_caudalanteriorcingulate,7.794,549.0,-0.814,0.047,0.079,<0.001,<0.001
CT_caudalmiddlefrontal,-0.391,549.0,0.025,-0.019,0.012,0.696,0.739
CT_cuneus,2.75,549.0,-0.317,0.006,0.035,0.006,0.015
CT_entorhinal,1.96,549.0,-0.262,<0.001,0.059,0.05,0.078
CT_fusiform,-0.743,549.0,0.087,-0.018,0.008,0.458,0.556
CT_inferiorparietal,-2.16,549.0,0.284,-0.033,-0.002,0.031,0.053
CT_inferiortemporal,2.621,549.0,-0.345,0.005,0.034,0.009,0.019
CT_isthmuscingulate,2.468,549.0,-0.121,0.003,0.025,0.014,0.026
CT_lateraloccipital,0.589,549.0,-0.063,-0.011,0.021,0.556,0.63
CT_lateralorbitofrontal,2.395,549.0,-0.277,0.003,0.031,0.017,0.03
CT_lingual,3.507,549.0,-0.421,0.01,0.035,<0.001,0.001
CT_medialorbitofrontal,0.548,549.0,-0.046,-0.008,0.015,0.584,0.641
CT_middletemporal,1.654,549.0,-0.201,-0.002,0.026,0.099,0.14
CT_parahippocampal,4.164,549.0,-0.312,0.021,0.058,<0.001,<0.001
CT_paracentral,6.097,549.0,-0.666,0.036,0.07,<0.001,<0.001
CT_parsopercularis,5.619,549.0,-0.734,0.026,0.054,<0.001,<0.001
CT_parsorbitalis,2.594,549.0,-0.347,0.005,0.036,0.01,0.019
CT_parstriangularis,1.736,549.0,-0.231,-0.002,0.028,0.083,0.123
CT_pericalcarine,4.66,549.0,-0.461,0.023,0.056,<0.001,<0.001
CT_postcentral,4.726,549.0,-0.484,0.017,0.042,<0.001,<0.001
CT_posteriorcingulate,3.464,549.0,-0.252,0.009,0.033,0.001,0.001
CT_precentral,4.528,549.0,-0.499,0.017,0.043,<0.001,<0.001
CT_precuneus,2.73,549.0,-0.255,0.005,0.033,0.007,0.015
CT_rostralanteriorcingulate,1.115,549.0,-0.021,-0.006,0.022,0.266,0.347
CT_rostralmiddlefrontal,-2.079,549.0,0.16,-0.03,-0.001,0.038,0.062
CT_superiorfrontal,1.555,549.0,-0.22,-0.003,0.024,0.12,0.164
CT_superiorparietal,-0.048,549.0,0.022,-0.015,0.014,0.961,0.961
CT_superiortemporal,7.247,549.0,-0.781,0.038,0.066,<0.001,<0.001
CT_supramarginal,0.798,549.0,-0.083,-0.009,0.021,0.425,0.536
CT_frontalpole,-0.355,549.0,0.041,-0.025,0.017,0.723,0.745
CT_temporalpole,4.946,549.0,-0.594,0.036,0.084,<0.001,<0.001
CT_transversetemporal,5.213,549.0,-0.44,0.038,0.083,<0.001,<0.001
CT_insula,5.748,549.0,-0.637,0.024,0.05,<0.001,<0.001
