,T_549-statistic
CT_bankssts,0.0
CT_caudalanteriorcingulate,7.794248465117218
CT_caudalmiddlefrontal,0.0
CT_cuneus,2.7496191022904686
CT_entorhinal,0.0
CT_fusiform,0.0
CT_inferiorparietal,0.0
CT_inferiortemporal,2.6210699788433334
CT_isthmuscingulate,2.4684943056141866
CT_lateraloccipital,0.0
CT_lateralorbitofrontal,2.394716876666594
CT_lingual,3.5070280750282263
CT_medialorbitofrontal,0.0
CT_middletemporal,0.0
CT_parahippocampal,4.163945802639997
CT_paracentral,6.097057475637635
CT_parsopercularis,5.618774729164362
CT_parsorbitalis,2.593827696330902
CT_parstriangularis,0.0
CT_pericalcarine,4.660380658137344
CT_postcentral,4.7259397686379785
CT_posteriorcingulate,3.464212557790115
CT_precentral,4.527607619669696
CT_precuneus,2.7299867212731956
CT_rostralanteriorcingulate,0.0
CT_rostralmiddlefrontal,0.0
CT_superiorfrontal,0.0
CT_superiorparietal,0.0
CT_superiortemporal,7.247290920845537
CT_supramarginal,0.0
CT_frontalpole,0.0
CT_temporalpole,4.946154925703858
CT_transversetemporal,5.212519544437054
CT_insula,5.748171878286186
