ROI,t_statistic,Cohen_d,p_value,p_fdr
CT_bankssts,-2.209,0.31,0.028,0.069
CT_caudalanteriorcingulate,0.436,-0.074,0.664,0.778
CT_caudalmiddlefrontal,-0.024,0.001,0.981,0.981
CT_cuneus,-1.012,0.147,0.313,0.443
CT_entorhinal,-2.232,0.308,0.027,0.069
CT_fusiform,-2.815,0.382,0.005,0.019
CT_inferiorparietal,-5.088,0.732,<0.001,<0.001
CT_inferiortemporal,0.484,-0.059,0.629,0.764
CT_isthmuscingulate,3.331,-0.46,0.001,0.007
CT_lateraloccipital,1.581,-0.227,0.115,0.171
CT_lateralorbitofrontal,0.258,-0.042,0.796,0.87
CT_lingual,-0.804,0.12,0.422,0.552
CT_medialorbitofrontal,2.9,-0.416,0.004,0.018
CT_middletemporal,-4.755,0.674,<0.001,<0.001
CT_parahippocampal,0.903,-0.126,0.367,0.5
CT_paracentral,2.797,-0.388,0.006,0.019
CT_parsopercularis,-0.638,0.111,0.524,0.66
CT_parsorbitalis,-6.954,0.987,<0.001,<0.001
CT_parstriangularis,-1.977,0.268,0.049,0.099
CT_pericalcarine,0.035,-0.018,0.972,0.981
CT_postcentral,-2.697,0.389,0.008,0.023
CT_posteriorcingulate,1.874,-0.272,0.062,0.118
CT_precentral,-2.07,0.289,0.04,0.084
CT_precuneus,-2.161,0.314,0.032,0.072
CT_rostralanteriorcingulate,1.793,-0.25,0.074,0.127
CT_rostralmiddlefrontal,-3.921,0.548,<0.001,0.001
CT_superiorfrontal,1.691,-0.239,0.092,0.143
CT_superiorparietal,-2.503,0.367,0.013,0.037
CT_superiortemporal,-1.805,0.267,0.073,0.127
CT_supramarginal,-2.897,0.401,0.004,0.018
CT_frontalpole,-0.401,0.05,0.689,0.781
CT_temporalpole,-2.997,0.409,0.003,0.017
CT_transversetemporal,0.229,-0.03,0.819,0.87
CT_insula,-1.735,0.248,0.084,0.137
