,T_199-statistic
SA_bankssts,-4.38231218346393
SA_caudalanteriorcingulate,-2.6704815918107814
SA_caudalmiddlefrontal,0.0
SA_cuneus,-2.430518259329581
SA_entorhinal,0.0
SA_fusiform,-2.740213002438483
SA_inferiorparietal,-3.057817658901346
SA_inferiortemporal,0.0
SA_isthmuscingulate,-5.889341907088076
SA_lateraloccipital,0.0
SA_lateralorbitofrontal,-4.806538726444863
SA_lingual,0.0
SA_medialorbitofrontal,-2.6702727755363
SA_middletemporal,-4.600865055036388
SA_parahippocampal,0.0
SA_paracentral,0.0
SA_parsopercularis,0.0
SA_parsorbitalis,0.0
SA_parstriangularis,0.0
SA_pericalcarine,0.0
SA_postcentral,0.0
SA_posteriorcingulate,-4.448892407284106
SA_precentral,0.0
SA_precuneus,0.0
SA_rostralanteriorcingulate,-3.971383426065013
SA_rostralmiddlefrontal,0.0
SA_superiorfrontal,-2.3747203743821075
SA_superiorparietal,-3.2865826319394733
SA_superiortemporal,0.0
SA_supramarginal,-2.3525804886242856
SA_frontalpole,0.0
SA_temporalpole,0.0
SA_transversetemporal,-2.6178364622770243
SA_insula,0.0
