ROI,t_statistic,Cohen_d,p_value,p_fdr
CT_bankssts,,,,
CT_caudalanteriorcingulate,9.906,-0.757,<0.001,<0.001
CT_caudalmiddlefrontal,-0.963,0.066,0.336,0.379
CT_cuneus,3.574,-0.301,<0.001,0.001
CT_entorhinal,3.808,-0.384,<0.001,<0.001
CT_fusiform,-0.698,0.058,0.485,0.515
CT_inferiorparietal,-2.757,0.277,0.006,0.01
CT_inferiortemporal,3.302,-0.316,0.001,0.002
CT_isthmuscingulate,2.592,-0.032,0.01,0.016
CT_lateraloccipital,1.434,-0.116,0.152,0.188
CT_lateralorbitofrontal,3.946,-0.307,<0.001,<0.001
CT_lingual,4.092,-0.356,<0.001,<0.001
CT_medialorbitofrontal,0.371,0.002,0.71,0.71
CT_middletemporal,2.376,-0.214,0.018,0.026
CT_parahippocampal,4.894,-0.272,<0.001,<0.001
CT_paracentral,7.55,-0.607,<0.001,<0.001
CT_parsopercularis,7.232,-0.692,<0.001,<0.001
CT_parsorbitalis,4.35,-0.418,<0.001,<0.001
CT_parstriangularis,2.526,-0.253,0.012,0.019
CT_pericalcarine,6.515,-0.45,<0.001,<0.001
CT_postcentral,5.534,-0.397,<0.001,<0.001
CT_posteriorcingulate,3.889,-0.169,<0.001,<0.001
CT_precentral,5.772,-0.457,<0.001,<0.001
CT_precuneus,3.888,-0.268,<0.001,<0.001
CT_rostralanteriorcingulate,1.827,-0.028,0.068,0.088
CT_rostralmiddlefrontal,-2.388,0.125,0.017,0.026
CT_superiorfrontal,2.049,-0.222,0.041,0.057
CT_superiorparietal,-0.492,0.067,0.623,0.641
CT_superiortemporal,9.958,-0.811,<0.001,<0.001
CT_supramarginal,1.421,-0.106,0.156,0.188
CT_frontalpole,,,,
CT_temporalpole,,,,
CT_transversetemporal,5.937,-0.335,<0.001,<0.001
CT_insula,6.869,-0.546,<0.001,<0.001
WMV,1.995,-0.006,0.046,0.062
GMV,-1.332,0.306,0.183,0.214
sGMV,-0.896,0.253,0.371,0.405
meanCT2,5.445,-0.419,<0.001,<0.001
